evidence_id,gold_paper_id,supported_entity_type,supported_entity_id,field_name,evidence_text,evidence_location_type,section_name,page_number,table_number,table_row,table_column,figure_number,supplement_identifier,xml_file,xml_element_id,extraction_method,review_status,reviewer_notes
EVID-001,GP-001,paper,GP-001,payload_type,"The organic phase contained glycerol monostearate (8 mg), Lipoid E PC S (70 mg), and CTD (2 mg).",methods,Materials and methods,,,,,,,candidate_00001_PMC13244520.xml,,manual_full_text_review,manually_verified,"CTD is cantharidin, a small-molecule drug outside the configured RNA scope."
EVID-002,GP-004,formulation,GF-001,composition_and_preparation,"Poly(C) RNA and FPLC-purified m1Ψ-containing mRNAs were encapsulated in LNP using a self-assembly process in which an aqueous solution of mRNA at pH 4.0 is rapidly mixed with lipids dissolved in ethanol. LNP contain an ionizable cationic lipid (pKa 6.0-6.5, proprietary to Acuitas Therapeutics), phosphatidylcholine, cholesterol, and PEG-lipid. They had a diameter of approximately 80 nm.",xml_paragraph,Methods,,,,,,,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par18,manual_full_text_review,verified,Exact ionizable-lipid identity and component ratios are not disclosed in the article.
EVID-003,GP-004,experiment,GX-001,kupffer_cell_transfection_experiment,"Mice received 10 micrograms eGFP mRNA-LNP per 20 g body weight intravenously and liver cell types were evaluated 5 h later by immunostaining and flow cytometry, with Poly(C) RNA-LNP as the negative control.",xml_paragraph_and_figure,Liver-targeted nucleoside-modified mRNA-LNP predominantly transfect hepatocytes,,,,,Figure 2,,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par7,manual_full_text_review,verified,"The study primarily targeted hepatocytes, not Kupffer cells."
EVID-004,GP-004,outcome,GO-001,percent_egfp_positive_cd11b_cells,Few F4/80-positive Kupffer cells expressed eGFP. Flow cytometry found 41.5 ± 14.6% of CD11b-positive cells expressed eGFP.,xml_paragraph_and_figure,Liver-targeted nucleoside-modified mRNA-LNP predominantly transfect hepatocytes,,,,,Figure 2,,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par8,manual_full_text_review,verified_with_caveat,CD11b-positive cells are not exclusively Kupffer cells; F4/80 immunostaining supplies more specific but qualitative Kupffer evidence.
EVID-005,GP-006,formulation,GF-002,composition_and_manufacturing,MC3:DOPE:cholesterol:DMG-PEG2K = 50:10:39:1. Lipids were dissolved in ethanol; mRNA was diluted in 50 mM sodium citrate buffer at pH 3. Organic and aqueous solutions were assembled using NanoAssemblr at a 1:3 volume ratio.,xml_paragraph,Materials and methods,,,,,,,data/raw/fulltext/gold_v1/xml/candidate_00168_PMC11617921.xml,p0105,manual_full_text_review,verified,Component ratio is reported in the same order as the four named lipid components.
EVID-006,GP-006,formulation,GF-002,np_ratio_and_particle_size,N/P ratios from 3 to 8 were evaluated. N/P 8 was selected for subsequent experiments. Mean particle size was approximately 163 nm.,xml_paragraph_and_figure,Synthesis and optimization of LNP formulations,2,,,,Figure 1,,data/raw/fulltext/gold_v1/xml/candidate_00168_PMC11617921.xml,p0035,manual_full_text_review,verified,
EVID-007,GP-006,experiment,GX-002,gfp_delivery_to_lsecs,"Mice received 1.2 mg/kg GFP mRNA-LNP intravenously. Six hours later, liver immunostaining showed colocalization of GFP and the LSEC marker LYVE-1.",xml_paragraph_and_figure,Biodistribution of MC3 LNPs,,,,,Figure 2B,,data/raw/fulltext/gold_v1/xml/candidate_00168_PMC11617921.xml,p0040,manual_full_text_review,verified,"GFP expression demonstrates functional delivery, not merely particle uptake."
EVID-008,GP-006,experiment,GX-003,cas9_sgrna_lnp_treatment,NSGHAsgRNA and Cas9 mRNA were encapsulated in MC3 LNP and injected intravenously into NSG hemophilia A mice at 4 mg/kg.,xml_paragraph_and_figure,Recovery of endogenous FVIII activity after Cas9/sgRNA LNP injection,,,,,Figure 5,,data/raw/fulltext/gold_v1/xml/candidate_00168_PMC11617921.xml,p0055,manual_full_text_review,verified,
EVID-009,GP-006,outcome,GO-005,total_deletion_frequency,Table S1 reports total deletion frequency in LSECs of 16.50 ± 2.96% after Cas9/sgRNA LNP treatment.,supplement_pdf_table,Supplemental Material,2,Table S1,LSEC,total deletion frequency,,mmc1.pdf,data/raw/fulltext/oa_packages/PMC11617921/mmc1.pdf,,manual_visual_pdf_review,verified,Image-based PDF table; value visually verified.
EVID-010,GP-006,outcome,GO-006,total_insertion_frequency,Table S2 reports total insertion frequency in LSECs of 1.01 ± 0.38% after Cas9/sgRNA LNP treatment.,supplement_pdf_table,Supplemental Material,2,Table S2,LSEC,total insertion frequency,,mmc1.pdf,data/raw/fulltext/oa_packages/PMC11617921/mmc1.pdf,,manual_visual_pdf_review,verified,Image-based PDF table; value visually verified.
