gold_component_id,gold_formulation_id,component_name_reported,component_name_normalized,component_role,inchikey,molar_percentage,percentage_unit,identity_status,identity_source,evidence_id,notes
GC-001,GF-001,ionizable cationic lipid proprietary to Acuitas Therapeutics,proprietary ionizable cationic lipid,ionizable_lipid,,,,proprietary_undisclosed,article_methods_and_patent_reference,EVID-002,Reported pKa range 6.0-6.5.
GC-002,GF-001,phosphatidylcholine,phosphatidylcholine,helper_lipid,,,,class_only,article_methods,EVID-002,Exact phosphatidylcholine species not reported.
GC-003,GF-001,cholesterol,cholesterol,sterol,,,,identified,article_methods,EVID-002,Molar percentage not reported.
GC-004,GF-001,PEG-lipid,PEG-lipid,peg_lipid,,,,class_only,article_methods,EVID-002,Exact PEG-lipid identity and ratio not reported.
GC-005,GF-002,D-Lin-MC3-DMA (MC3),D-Lin-MC3-DMA,ionizable_lipid,,50,mol_percent,identified,article_methods,EVID-005,
GC-006,GF-002,DOPE,"1,2-dioleoyl-sn-glycero-3-phosphoethanolamine",helper_lipid,,10,mol_percent,identified,article_methods,EVID-005,
GC-007,GF-002,cholesterol,cholesterol,sterol,,39,mol_percent,identified,article_methods,EVID-005,
GC-008,GF-002,DMG-PEG2K,DMG-PEG2000,peg_lipid,,1,mol_percent,identified,article_methods,EVID-005,
GC-009,GF-003,SM-102,SM-102,ionizable_lipid,,50,mol_percent,identified,article_or_supplement,EVID-012,
GC-010,GF-003,DSPC,DSPC,helper_lipid,,10,mol_percent,identified,article_or_supplement,EVID-012,
GC-011,GF-003,cholesterol,cholesterol,sterol,,38.5,mol_percent,identified,article_or_supplement,EVID-012,
GC-012,GF-003,DMG-PEG2000,DMG-PEG2000,peg_lipid,,1.5,mol_percent,identified,article_or_supplement,EVID-012,
GC-013,GF-004,MC3,MC3,ionizable_lipid,,50,mol_percent,identified,article_or_supplement,EVID-016,
GC-014,GF-004,DSPC,DSPC,helper_lipid,,10,mol_percent,identified,article_or_supplement,EVID-016,
GC-015,GF-004,cholesterol,cholesterol,sterol,,38.5,mol_percent,identified,article_or_supplement,EVID-016,
GC-016,GF-004,DMG-PEG2000,DMG-PEG2000,peg_lipid,,1.5,mol_percent,identified,article_or_supplement,EVID-016,
GC-017,GF-005,cholesterol,cholesterol,sterol,,,,identified,article_or_supplement,EVID-021,
GC-018,GF-005,DSPE-PEG,DSPE-PEG,peg_lipid,,,,class_only,article_or_supplement,EVID-021,PEG length not reported.
GC-019,GF-005,FITC-labeled HA,FITC-hyaluronic acid,targeting_or_tracer_polymer,,0.1,mol_percent,class_only,article_or_supplement,EVID-021,
GC-020,GF-005,siMicu1,Micu1 siRNA,payload,,,,sequence_not_reported,article_or_supplement,EVID-021,
GC-021,GF-006,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,ionizable_lipid,,45,mol_percent,identified,article_or_supplement,EVID-025,
GC-022,GF-006,DSPC,DSPC,helper_lipid,,30,mol_percent,identified,article_or_supplement,EVID-025,
GC-023,GF-006,cholesterol,cholesterol,sterol,,23.5,mol_percent,identified,article_or_supplement,EVID-025,
GC-024,GF-006,PEG-lipid,PEG-lipid,peg_lipid,,1.5,mol_percent,class_only,article_or_supplement,EVID-025,Exact base PEG-lipid identity not reported.
GC-025,GF-006,DSPE-PEG-maleimide,DSPE-PEG-maleimide,targeting_anchor,,,,identified,article_or_supplement,EVID-026,Post-insertion amount not reported.
GC-026,GF-006,rat anti-mouse CD163,anti-CD163 antibody,targeting_ligand,,,,biologic_identified,article_or_supplement,EVID-026,Antibody:LNP ratio reported as 1:20.
