screening_id,gold_candidate_id,candidate_id,screening_cell_type,task_id,anticipated_decision,original_experiment_status,original_experiment_evidence,original_experiment_location,identifiable_lnp_status,identifiable_lnp_evidence,identifiable_lnp_location,supported_payload_status,supported_payload_evidence,supported_payload_location,target_cell_evidence_status,target_cell_evidence_level,target_cell_evidence_text,target_cell_evidence_location,formulation_outcome_linkage_status,formulation_outcome_linkage_evidence,formulation_outcome_linkage_location,primary_reason_code,secondary_reason_codes,final_decision,source_identifier,rules_version,reviewer,reviewed_at,notes
SCR-001,GPC-001,candidate_00001,hepatocyte,liver_cell_lnp_evidence,exclude,supported,"The study prepared and characterized GA-FA-CSLNs and evaluated them in Huh-7 cells, tumor-bearing mice, and rats.",abstract,supported,The delivery system is identified as a cantharidin-loaded solid lipid nanoparticle.,title;abstract,fails,"The payload is cantharidin, a natural antitumor agent, rather than mRNA, siRNA, saRNA, or circRNA.",title;abstract,unclear,unclear,The abstract claims hepatocyte targeting but reports testing in the Huh-7 hepatocellular carcinoma cell line.,abstract,supported,"GA-FA-CSLNs are linked to cellular uptake, IC50, apoptosis, tumor inhibition, survival, safety, and pharmacokinetic outcomes.",abstract,UNSUPPORTED_PAYLOAD,TARGET_CELL_AMBIGUOUS,exclude,PMID:42249613,1.0.0,renemilywei,2026-07-22,Excluded at abstract screening because the payload is outside the configured RNA scope.
SCR-002,GPC-002,candidate_00002,hepatocyte,liver_cell_lnp_evidence,include,supported,"The study experimentally varied dendrimer lipid grafting and measured surface hydrophobicity, plasma stability, protein adsorption, and tissue and cell delivery.",abstract,supported,The tested systems are identified as dendrimer-based lipid nanoparticles.,title;abstract,supported,The title identifies the application as tissue-selective mRNA delivery.,title,supported,direct,The study reports that reducing dLNP surface hydrophobicity diminished targeting of liver hepatocytes.,abstract,supported,"Changes in dendrimer lipid grafting and surface hydrophobicity are linked to plasma behavior, protein adsorption, hepatocyte targeting, and extrahepatic delivery.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:42085855,1.0.0,renemilywei,2026-07-22,Included for detailed extraction. Paper-level inclusion does not establish COMET compatibility.
SCR-003,GPC-003,candidate_00003,hepatocyte,liver_cell_lnp_evidence,manual_review,supported,"The study reports intravenous mRNA-LNP delivery experiments in healthy, fibrotic, cirrhotic, and tumor-bearing liver models.",abstract,supported,The tested delivery systems are explicitly identified as mRNA lipid nanoparticles.,title;abstract,supported,The payload is messenger RNA.,title;abstract,supported,direct,"Intravenous mRNA-LNP delivery reportedly transfected virtually all hepatocytes in healthy, fibrotic, and cirrhotic liver.",abstract,supported,Systemically delivered mRNA-LNPs are linked to hepatocyte transfection and protein-expression outcomes in normal and tumor-bearing liver.,abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:42440881,1.0.0,renemilywei,2026-07-22,Included for detailed extraction. Exact LNP composition must be confirmed from full text.
SCR-004,GPC-004,candidate_00019,hepatocyte,liver_cell_lnp_evidence,exclude,fails,The abstract explicitly describes the publication as a state-of-the-art review and overview.,abstract,fails,The review discusses mRNA-LNP base-editing examples but does not report its own tested LNP.,abstract,unclear,"siRNA and mRNA payloads are discussed, but they are not tested in an original experiment reported by this publication.",abstract,fails,mentioned_only,Hepatocyte-specific delivery is discussed in the review without an original cell-specific experiment.,abstract,fails,No original tested LNP formulation is linked to a measured outcome in this review.,abstract,NOT_ORIGINAL_RESEARCH,NO_TARGET_CELL_EVIDENCE;NO_FORMULATION_OUTCOME_LINKAGE,exclude,PMID:42164756,1.0.0,renemilywei,2026-07-22,Excluded because it summarizes other studies rather than reporting an original experiment.
SCR-005,GPC-005,candidate_00055,kupffer_cell,liver_cell_lnp_evidence,include,supported,The authors developed mannosylated LNPs and tested their cell-specific delivery following intravenous administration in mice.,abstract,supported,"The tested LNPs incorporate mannose-conjugated cholesterol, with additional PEG-lipid acyl-chain modifications.",title;abstract,supported,The study tests mRNA delivery.,title;abstract,supported,direct,The study reports significantly greater LNP uptake and functional mRNA delivery in CD206-positive Kupffer cells.,abstract,supported,Mannosylated cholesterol and shorter PEG-lipid acyl chains are linked to increased Kupffer-cell uptake and functional mRNA delivery.,abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:40934895,1.0.0,renemilywei,2026-07-22,Included for detailed extraction; the paper also contains direct LSEC evidence.
SCR-006,GPC-006,candidate_00066,kupffer_cell,liver_cell_lnp_evidence,include,supported,The study prepared copper-64-labeled mRNA-LNPs and performed PET pharmacokinetic experiments in normal and functionally deficient mice.,abstract,supported,The tested system is a common-composition mRNA-LNP labeled with copper-64 through an oligonucleotide-hybridization method.,abstract,supported,The tested payload is mRNA.,title;abstract,supported,direct,The study quantifies Kupffer-cell uptake and reports its contribution relative to hepatocyte uptake in hepatic clearance.,abstract,supported,"The radiolabeled mRNA-LNP system is linked to liver accumulation, protein-corona timing, clearance, cell uptake, and reporter expression.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:40754985,1.0.0,renemilywei,2026-07-22,Included for detailed extraction; Kupffer uptake is measured even though hepatocyte uptake is greater.
SCR-007,GPC-007,candidate_00082,kupffer_cell,liver_cell_lnp_evidence,include,supported,The study used real-time intravital imaging to investigate LNP uptake and expression in liver cells in vivo and tested multiple modifications.,abstract,supported,"The study tests mRNA-LNPs, siRNA-LNPs, co-encapsulated payloads, and an LNP containing a different ionizable lipid.",abstract,supported,The tested payloads include Egfp mRNA and siRNA.,abstract,supported,direct,"Kupffer cells showed rapid LNP uptake, while Egfp mRNA translation was not substantially detected in the non-parenchymal cells.",abstract,supported,"The tested mRNA-LNP, siRNA-LNP, co-encapsulation, base-substitution, and ionizable-lipid conditions are linked to uptake and translation outcomes.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:39792811,1.0.0,renemilywei,2026-07-22,Included because both uptake and functional expression outcomes are directly measured; lack of expression is still relevant evidence.
SCR-008,GPC-008,candidate_00150,kupffer_cell,liver_cell_lnp_evidence,manual_review,supported,"The study administered luciferase, HGF, and EGF mRNA-LNPs in mouse liver models and measured transfection, expression, and regeneration.",abstract,supported,"The tested systems include nucleoside-modified luciferase, HGF, and EGF mRNA encapsulated in lipid nanoparticles.",title;abstract,supported,The tested payloads are nucleoside-modified mRNAs.,title;abstract,supported,direct,The study reports that a subpopulation of Kupffer cells was transfected after intravenous mRNA-LNP administration.,abstract,supported,"The administered mRNA-LNP systems are linked to cell transfection, protein expression, hepatocyte proliferation, regeneration, and liver-function outcomes.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:33504774,1.0.0,renemilywei,2026-07-22,"Included for Kupffer screening because direct transfection is reported, although hepatocytes are the study's primary biological focus."
SCR-009,GPC-009,candidate_00168,lsec,liver_cell_lnp_evidence,include,supported,The study administered CRISPR-Cas9 mRNA LNPs to hemophilia A mice and measured gene editing and FVIII activity.,abstract,supported,The delivery system is identified as an optimized MC3-based LNP formulation.,abstract,supported,The LNP payload includes Cas9 mRNA together with a specifically designed sgRNA.,abstract,supported,direct,Sequencing showed an average gene-editing rate of 15.3 percent in LSECs.,abstract,supported,"Optimized MC3 LNP treatment is linked to LSEC gene editing, sustained endogenous FVIII activity, and frameshift correction.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:39640016,1.0.0,renemilywei,2026-07-22,Included for detailed extraction; COMET compatibility remains a later readiness question.
SCR-010,GPC-010,candidate_00174,lsec,liver_cell_lnp_evidence,include,supported,"The study developed two pH-sensitive cationic lipids and experimentally evaluated LNP biodistribution, efficiency, and cell-specific gene silencing.",abstract,supported,"The tested LNPs vary pH-sensitive lipid chemistry, pKa, lipase sensitivity, and particle size.",abstract,supported,The tested payload is siRNA.,title;abstract,supported,direct,The study directly reports gene-silencing efficiency and specificity in LSECs.,abstract,supported,"Changes in lipid pKa, lipase sensitivity, and particle size are linked to intrahepatic localization and LSEC-specific gene silencing.",abstract,TARGET_CELL_EVIDENCE,ORIGINAL_EXPERIMENT;IDENTIFIABLE_LNP;SUPPORTED_PAYLOAD;USABLE_FORMULATION_OUTCOME_LINKAGE,include,PMID:26678452,1.0.0,renemilywei,2026-07-22,Included for detailed extraction. The relevant endpoint family is gene_knockdown.
