Paper,Paper title,DOI / paper link,Arm ID,LNP name,Chemical formulation (total),LNP molar ratio,Ionizable lipid,Helper lipid,Cholesterol,PEG lipid,Others,Target / recipient organ,Intended target cell,Observed transfected cell,Legacy cell label,Species,Biological model,Payload,Encoded product,Molecular target,Dose,Route,Timepoint,Assay,Outcomes,General use,Nearest neighbor,COMET,COMET blockers,Missing fields,Automatic-resolution issues
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,1,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,hepatocyte,hepatocyte,Mus musculus,healthy mouse model; healthy,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 ug_mRNA_per_mouse,intravenous tail-vein injection,24 hours,fluorescence_imaging_western_blot_IHC,"Reported outcome: 10 fold · reported
Reported outcome: strong staining in nearly all hepatocytes · qualitative_only
hepatocyte_eGFP_expression: Strong eGFP staining in virtually all hepatocytes. · HNF4alpha_morphology_identified_hepatocytes · qualitative_only",Ready,Ready,Not ready,coherent_outcome,None,None
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,2,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,hepatocyte,not_reported,Mus musculus,Mdr2 knockout mouse model with F3 severe fibrosis; severe hepatic fibrosis,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 micrograms per mouse,intravenous tail-vein injection,24 hours,NA,Reported outcome: greater eGFP-positive area in F3 than F4 · qualitative_only,Ready,Not ready,Not ready,"assay, coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit",None,None
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,3,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,hepatocyte,not_reported,Mus musculus,Mdr2 knockout mouse model with F4 cirrhosis; liver cirrhosis,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 micrograms per mouse,intravenous tail-vein injection,24 hours,NA,NA,Not ready,Not ready,Not ready,"accepted_evidence, assay, in_vitro_in_vivo, manually_verified, outcome",outcome,None
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,4,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver; spontaneous liver tumors,NA,hepatocytes; spontaneous HCC cells,not_reported,Mus musculus,spontaneous hepatocellular carcinoma in situ,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 micrograms per mouse,intravenous tail-vein injection,14 hours,NA,Reported outcome: expression detected · qualitative_only,Ready,Not ready,Not ready,"assay, coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit",None,None
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,5,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver; orthotopic liver tumor,NA,adjacent hepatocytes; HuH-7 tumor cells,not_reported,Mus musculus,orthotopic HuH-7 hepatocellular carcinoma xenograft model,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 micrograms,intravenous tail-vein injection,24 hours,NA,"Reported outcome: no significant liver-versus-tumor difference · qualitative_only
Reported outcome: clear tumor GFP staining · qualitative_only",Ready,Not ready,Not ready,"assay, coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit",None,None
GP-002,GP-002,https://doi.org/10.1016/j.omtn.2026.102989,6,SM-102 mRNA-LNPs,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,liver; secondary liver tumors,NA,adjacent hepatocytes; A549 and HCT116 tumor cells,not_reported,Mus musculus,A549-mCherry xenograft group; HCT116-mCherry xenograft group,enhanced green fluorescent protein mRNA,enhanced green fluorescent protein,NA,10 micrograms,intravenous tail-vein injection,24 hours,NA,NA,Not ready,Not ready,Not ready,"accepted_evidence, assay, in_vitro_in_vivo, manually_verified, outcome",outcome,None
GP-004,GP-004,https://doi.org/10.1038/s41467-021-20903-3,7,mRNA-LNP,Proprietary ionizable cationic lipid-phosphatidylcholine-cholesterol-PEG-lipid,"50:10:38.5:1.5 [inferred from US10,221,127]",proprietary ionizable cationic lipid,phosphatidylcholine,cholesterol,PEG-lipid,NA,liver,NA,NA,not_reported,Mus musculus,NA,firefly luciferase mRNA,firefly luciferase,NA,5 µg per 20 g body weight,intravenous injection (tail vein or retro-orbital),"5 hours; also days 1, 2, 3, 6, and 8",bioluminescence imaging,"luciferase activity: highest activity at 5 h and stable for 24 h · qualitative_only
luciferase activity: baseline activity at day 8 · qualitative_only",Ready,Not ready,Not ready,"biological_model, coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit",None,None
GP-004,GP-004,https://doi.org/10.1038/s41467-021-20903-3,8,mRNA-LNP,Proprietary ionizable cationic lipid-phosphatidylcholine-cholesterol-PEG-lipid,"50:10:38.5:1.5 [inferred from US10,221,127]",proprietary ionizable cationic lipid,phosphatidylcholine,cholesterol,PEG-lipid,NA,liver,NA,hepatocyte,hepatocyte,Mus musculus,homeostasis,hepatocyte growth factor mRNA,hepatocyte growth factor,NA,10 µg per 20 g body weight,intravenous injection,5 hours; also 24 and 48 hours,HGF immunostaining; EdU incorporation; EdU/HNF4α and EdU/CD45 co-staining,"number of EdU-positive proliferating cells: marked increase in EdU+ proliferative cell numbers · qualitative_only
EdU-positive HNF4α-positive hepatocytes: 61.25 percent · reported
EdU-positive HNF4α-positive hepatocytes: 121 fold · reported",Ready,Not ready,Not ready,"coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis",None,None
GP-004,GP-004,https://doi.org/10.1038/s41467-021-20903-3,9,mRNA-LNP,Proprietary ionizable cationic lipid-phosphatidylcholine-cholesterol-PEG-lipid,"50:10:38.5:1.5 [inferred from US10,221,127]",proprietary ionizable cationic lipid,phosphatidylcholine,cholesterol,PEG-lipid,NA,liver,NA,hepatocyte,not_reported,Mus musculus,CDE diet-induced NAFLD mouse model; nonalcoholic fatty liver disease,HGF mRNA + EGF mRNA,hepatocyte growth factor + epidermal growth factor,NA,10 micrograms total per 20 g body weight (5 micrograms HGF + 5 micrograms EGF),intravenous injection (tail vein or retro-orbital),2 days after first injection; also day 8 (injections at T0 and T4),Oil Red O staining; serum cholesterol; serum ALT; CD45 immunostaining,"hepatic steatosis: reduced hepatic steatosis · qualitative_only
serum alanine aminotransferase: restoring baseline levels of serum ALT · qualitative_only",Ready,Not ready,Not ready,"coherent_outcome, in_vitro_in_vivo, manually_verified, normalization_basis, outcome_unit",None,None
GP-004,GP-004,https://doi.org/10.1038/s41467-021-20903-3,10,mRNA-LNP,Proprietary ionizable cationic lipid-phosphatidylcholine-cholesterol-PEG-lipid,"50:10:38.5:1.5 [inferred from US10,221,127]",proprietary ionizable cationic lipid,phosphatidylcholine,cholesterol,PEG-lipid,NA,liver,NA,hepatocytes; endothelial cells; Kupffer cells,kupffer_cell,Mus musculus,NA,eGFP mRNA,EGFP,NA,10 ug_mRNA_per_20_g_body_weight,intravenous injection,5 hours,immunohistochemistry and flow cytometry,"eGFP_positive_CD11b_positive_cells: 41.5 percent · CD11b_positive_liver_cells · reported
eGFP_expression_in_F4_80_positive_cells: Few F4/80-positive Kupffer cells expressed eGFP. · F4_80_positive_Kupffer_cells · qualitative_only",Ready,Ready,Ready,None,None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,11,Egfp mRNA‐LNP (LNP1),MC3-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,kupffer_cell,kupffer_cell,Mus musculus,wild-type C57BL/6J mouse,Egfp mRNA,EGFP,NA,2 mg_per_kg,intravenous,16 hour,intravital_imaging_and_F4_80_staining,"rapid_Kupffer_cell_LNP_uptake: High and rapid uptake comparable to hepatocytes. · F4_80_positive_Kupffer_cells · qualitative_only
EGFP_expression_in_Kupffer_cells: 0 detectable_cells · F4_80_positive_Kupffer_cells_by_intravital_imaging · reported",Ready,Ready,Ready,None,None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,13,LNP16,MC3-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,hepatocyte; liver sinusoidal endothelial cell; Kupffer cell; monocyte-derived macrophage,other,Mus musculus,mouse,EGFP-encoding mRNA; negative-control siRNA,EGFP,NA,3 mg_per_kg,intravenous injection,16 hours,flow cytometry; quantitative PCR,"cellular LNP16 uptake: significant LNP16 uptake by hepatocytes and Kupffer cells · qualitative_only
cellular LNP16 uptake: no significant LNP16 uptake by hepatic stellate cells · qualitative_only
TLR4 mRNA knockdown after LNP16 control treatment: no TLR4 mRNA knockdown after LNP16 control treatment · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,12,LNP17,MC3-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,DMG-PEG2000,NA,liver,NA,hepatocyte; Kupffer cell; hepatic stellate cell,other,Mus musculus,mouse,TLR4-targeting siRNA; EGFP-encoding mRNA,EGFP,TLR4,3 mg_per_kg,intravenous injection,16 hours,flow cytometry; quantitative PCR,"TLR4 mRNA knockdown after LNP17 treatment: significant TLR4 mRNA reduction in hepatocytes, Kupffer cells, and hepatic stellate cells · qualitative_only",Ready,Ready,Not ready,"coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,14,LNP3,MC3-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,MC3,DSPC,cholesterol,DMG-PEG2000,NA,NA,HeLa cell; human primary macrophage,HeLa cell; human primary macrophage,other,Homo sapiens,NA,5moU-modified EGFP mRNA,EGFP,NA,1 micrograms per mL,in vitro incubation,24 hours,flow cytometry,"EGFP expression in HeLa cells: significant EGFP protein translation · qualitative_only
EGFP expression in human primary macrophages: low EGFP protein translation · qualitative_only",Ready,Ready,Not ready,"biological_model, coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
GP-005,GP-005,https://doi.org/10.1002/advs.202409729,15,LNP4,SM-102-DSPC-cholesterol-DMG-PEG2000,50:10:38.5:1.5,SM-102,DSPC,cholesterol,DMG-PEG2000,NA,NA,HeLa cell; human primary macrophage,HeLa cell; human primary macrophage,other,Homo sapiens,NA,5moU-modified EGFP mRNA,EGFP,NA,1 micrograms per mL,in vitro incubation,24 hours,flow cytometry,"EGFP expression in HeLa cells: significant EGFP protein translation · qualitative_only
EGFP expression in human primary macrophages: low EGFP protein translation · qualitative_only",Ready,Ready,Not ready,"biological_model, coherent_outcome, manually_verified, normalization_basis, outcome_unit",None,None
