paper_id,review_type,status,reason
GP-002,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-002,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
GP-004,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-004,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
GP-005,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-005,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
GP-006,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-006,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
GP-007,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-007,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
GP-008,critical_field_precision,human_review_required,"The frozen gold is selective, so an extracted field absent from gold cannot be labeled unsupported automatically."
GP-008,experiment_mixing_and_unsupported_claims,human_review_required,"Schema links are valid, but scientific co-reference and support must be compared with source evidence."
