entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
F1,lnp_formulation,GP-008-E01,αCD163/LNP-FAPCAR,anti-CD163-conjugated LNP encapsulating FAPCAR mRNA,synonym,forming αCD163/LNP-FAPCAR,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
F1,lnp_formulation,GP-008-E01,αCD163/LNP-FAPCAR,anti-CD163-conjugated LNP encapsulating FAPCAR mRNA,synonym,"liposomal nanoparticles (LNP), conjugated with CD163 antibodies and encapsulating FAPCAR mRNA",Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
F2,lnp_formulation,unlinked/pending,LNP-FAPCAR,LNP encapsulating FAPCAR mRNA,exact,LNP-FAPCAR,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
F4,lnp_formulation,GP-008-E01,αCD163/LNP-Luc,anti-CD163-conjugated LNP encapsulating luciferase mRNA,synonym,LNP-Luc or αCD163/LNP-Luc,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
F5,lnp_formulation,GP-008-E01,αCD163/LNP-ZsGreen,anti-CD163-conjugated LNP encapsulating ZsGreen mRNA,synonym,LNP-ZsGreen or αCD163/LNP-ZsGreen,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
P1,payload,GP-008-E01,FAPCAR mRNA,mRNA encoding an FAP-targeted chimeric antigen receptor,synonym,a modified nucleoside-inclusive mRNA encoding an FAP-targeted CAR sequence,Supplement page 28,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,28,,
P1,payload,GP-008-E01,FAPCAR mRNA,mRNA encoding an FAP-targeted chimeric antigen receptor,synonym,encapsulating FAPCAR mRNA,Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
P3,payload,GP-008-E01,luciferase mRNA,Photinus pyralis luciferase mRNA,synonym,Photinus pyralis luciferase (LNP-Luc or αCD163/LNP-Luc),Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
P4,payload,GP-008-E01,ZsGreen mRNA,ZsGreen mRNA,exact,ZsGreen (LNP-ZsGreen or αCD163/LNP-ZsGreen) mRNA,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
EP1,encoded_product,GP-008-E01,FAPCAR,FAP-targeted chimeric antigen receptor,synonym,an FAP-targeted CAR sequence,Supplement page 28,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,28,,
MT2,molecular_target,unlinked/pending,FAP,fibroblast activation protein,synonym,HSCs that express FAP upon activation,Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
L1,targeting_ligand,unlinked/pending,rat anti-mouse CD163,anti-mouse CD163 antibody,synonym,purified rat 147 anti-mouse CD163,Supplement page 4,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,4,,
CELL1,cell,unlinked/pending,macrophages,macrophage,exact,macrophage-specific delivery,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
