gold_outcome_id,gold_experiment_id,endpoint_family,endpoint_name,outcome_value,outcome_unit,normalization_basis,uncertainty_value,uncertainty_type,qualitative_outcome,value_status,evidence_id,notes
GO-001,GX-001,functional_delivery,eGFP_positive_CD11b_positive_cells,41.5,percent,CD11b_positive_liver_cells,14.6,SEM,,reported_with_marker_ambiguity,EVID-004,CD11b is not Kupffer-specific; interpret as Kupffer-relevant rather than a pure Kupffer result.
GO-002,GX-001,functional_delivery,eGFP_expression_in_F4_80_positive_cells,,,F4_80_positive_Kupffer_cells,,,Few F4/80-positive Kupffer cells expressed eGFP.,qualitative_reported,EVID-004,"More cell-specific than CD11b, but no numerical percentage was reported."
GO-003,GX-002,functional_delivery,GFP_expression_in_LYVE1_positive_LSECs,,,LYVE1_positive_liver_cells,,,GFP signal colocalized with the LSEC marker LYVE-1.,qualitative_reported,EVID-007,
GO-004,GX-002,cell_type_selectivity,hepatocyte_to_LSEC_luciferase_expression_ratio,17,fold,luciferase_activity_normalized_to_total_protein,,,Luciferase expression was higher in hepatocytes.,reported_approximate,EVID-007,Approximately 17-fold higher expression in hepatocytes than LSECs; formulation is not LSEC-selective.
GO-005,GX-003,gene_editing,total_deletion_frequency_in_LSECs,16.50,percent,isolated_LSEC_genomic_DNA,2.96,SD,,reported,EVID-009,n=3 according to Figure 6.
GO-006,GX-003,gene_editing,total_insertion_frequency_in_LSECs,1.01,percent,isolated_LSEC_genomic_DNA,0.38,SD,,reported,EVID-010,
GO-007,GX-003,therapeutic_function,FVIII_activity,3.30,percent_normal_activity,plasma_FVIII_activity,0.68,SD,Activity was sustained over 26 weeks.,reported,EVID-011,"Therapeutic systemic outcome, not a direct cell-delivery endpoint."
GO-008,GX-004,functional_expression,hepatocyte_eGFP_expression,,,HNF4alpha_morphology_identified_hepatocytes,,,Strong eGFP staining in virtually all hepatocytes.,qualitative_reported,EVID-014,Healthy liver at 24 hours.
GO-010,GX-005,uptake,rapid_Kupffer_cell_LNP_uptake,,,F4_80_positive_Kupffer_cells,,,High and rapid uptake comparable to hepatocytes.,qualitative_reported,EVID-019,Uptake must not be interpreted as protein expression.
GO-011,GX-005,functional_expression,EGFP_expression_in_Kupffer_cells,0,detectable_cells,F4_80_positive_Kupffer_cells_by_intravital_imaging,,,No obvious EGFP-positive Kupffer cells; expression was observed solely in hepatocytes.,reported_below_visual_detection,EVID-020,Negative functional-delivery result despite positive uptake.
GO-013,GX-007,therapeutic_effect,LSEC_ultrastructure_and_function,,,HIRI_plus_blank_LNP_control,,,"Reduced mitochondrial damage, calcium accumulation, and LSEC defenestration.",qualitative_reported,EVID-024,The combination with acteoside produced stronger effects.
GO-015,GX-008,functional_expression,FAPCAR_or_GFP_positive_BMDMs,80,percent_greater_than,BMDMs_exposed_to_alpha_CD163_LNP,,,Over 80% of BMDMs expressed GFP or FAPCAR.,reported_threshold,EVID-028,"Recipient-cell outcome is macrophage, not HSC."
GO-016,GX-008,functional_expression,expression_after_unmodified_LNP,20,percent_less_than,BMDMs_exposed_to_unmodified_LNP,,,Unmodified LNP delivered mRNA to fewer than 20% of BMDMs.,reported_threshold,EVID-028,Comparator for CD163 targeting.
GO-017,GX-009,therapeutic_effect,activated_HSC_elimination,,,FAP_positive_activated_HSCs,,,"FAPCAR macrophages recognized, phagocytosed, and eliminated activated HSC models.",qualitative_reported,EVID-029,Direct HSC effect without direct HSC LNP delivery.
GO-018,GX-009,cell_type_selectivity,reporter_recipient_cell,,,liver_cell_marker_colocalization,,,Reporter and FAPCAR expression localized to macrophages rather than Desmin-positive HSCs.,qualitative_reported,EVID-030,Frozen from an image-based supplementary figure.
