experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
SHARED,Shared,CL1,lnp_formulation,SM-102 mRNA-LNPs,has_component,lnp_component,SM-102,50 ionizable (SM-102),Materials and methods > Production of mRNA-LNP,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0305,,
SHARED,Shared,CL2,lnp_formulation,SM-102 mRNA-LNPs,has_component,lnp_component,DSPC,10 DSPC,Materials and methods > Production of mRNA-LNP,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0305,,
SHARED,Shared,CL3,lnp_formulation,SM-102 mRNA-LNPs,has_component,lnp_component,cholesterol,38.5 cholesterol,Materials and methods > Production of mRNA-LNP,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0305,,
SHARED,Shared,CL4,lnp_formulation,SM-102 mRNA-LNPs,has_component,lnp_component,DMG-PEG2000,1.5 DMG-PEG2000,Materials and methods > Production of mRNA-LNP,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0305,,
SHARED,Shared,CL5,lnp_formulation,SM-102 mRNA-LNPs,carries_payload,payload,mRNA encoding enhanced green fluorescent protein (eGFP),mRNA-LNPs encoding enhanced green fluorescent protein (eGFP),Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
SHARED,Shared,CL6,payload,mRNA encoding enhanced green fluorescent protein (eGFP),encodes_product,encoded_product,enhanced green fluorescent protein (eGFP),mRNA-LNPs encoding enhanced green fluorescent protein (eGFP),Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C1,biological_model,healthy adult male mice,has_species,species,mice,adult male mice,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C2,biological_model,healthy adult male mice,has_physiological_context,physiological_state,healthy,5 healthy mice,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C3,biological_model,healthy adult male mice,has_tissue_context,tissue_or_organ,liver,delivery of mRNA to the liver,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C4,biological_model,healthy adult male mice,has_intervention,intervention,10 μg eGFP mRNA-LNP administration to healthy mice,We injected 5 healthy mice with 10 μg eGFP mRNA-LNPs via the tail vein and investigated reporter expression after 24 h.,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C6,intervention,10 μg eGFP mRNA-LNP administration to healthy mice,has_route,route,via the tail vein,via the tail vein,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C7,intervention,10 μg eGFP mRNA-LNP administration to healthy mice,has_dose,dose,10 μg eGFP mRNA-LNPs,10 μg eGFP mRNA-LNPs,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C8,intervention,10 μg eGFP mRNA-LNP administration to healthy mice,has_timepoint,timepoint,24 h post-injection,after 24 h,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C9,endpoint,hepatic eGFP fluorescence,has_outcome_value,outcome_value,around 10-fold higher than background,measured fluorescence values around 10-fold higher than background,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E01,mRNA-LNP transfection of healthy liver,E01C10,endpoint,hepatocyte eGFP staining,has_outcome_value,outcome_value,strong staining in virtually all hepatocytes,strong eGFP staining in virtually all hepatocytes,Results > Efficient delivery of mRNA-LNPs to the healthy mouse liver,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0050,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C1,biological_model,Mdr2 knockout mice with severe fibrosis (F3),has_species,species,mice,4 male Mdr2 knockout mice,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C2,biological_model,Mdr2 knockout mice with severe fibrosis (F3),has_disease_context,disease,severe liver fibrosis (F3),F3 (severe fibrosis),Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C3,biological_model,Mdr2 knockout mice with severe fibrosis (F3),has_intervention,intervention,intravenous eGFP mRNA-LNP administration in Mdr2 knockout mice,We injected eGFP mRNA-LNPs intravenously into 4 male Mdr2 knockout mice,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C4,intervention,intravenous eGFP mRNA-LNP administration in Mdr2 knockout mice,has_formulation,lnp_formulation,SM-102 mRNA-LNPs,We injected eGFP mRNA-LNPs intravenously into 4 male Mdr2 knockout mice,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C5,intervention,intravenous eGFP mRNA-LNP administration in Mdr2 knockout mice,has_timepoint,timepoint,14 h post-injection,14 h post-injection,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E02,mRNA-LNP transfection of fibrotic liver,E02C6,endpoint,eGFP-positive surface area,has_outcome_value,outcome_value,higher surface area in F3 than F4,mice with severe fibrosis (F3) had detectable eGFP staining across a higher surface area compared to mice with cirrhosis (F4),Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E03,mRNA-LNP transfection of cirrhotic liver,E03C1,biological_model,Mdr2 knockout mice with cirrhosis (F4),has_species,species,mice,4 male Mdr2 knockout mice,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E03,mRNA-LNP transfection of cirrhotic liver,E03C2,biological_model,Mdr2 knockout mice with cirrhosis (F4),has_disease_context,disease,cirrhosis (F4),F4 (cirrhosis),Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E03,mRNA-LNP transfection of cirrhotic liver,E03C3,biological_model,Mdr2 knockout mice with cirrhosis (F4),has_intervention,intervention,intravenous eGFP mRNA-LNP administration in Mdr2 knockout mice,We injected eGFP mRNA-LNPs intravenously into 4 male Mdr2 knockout mice,Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E04,mRNA-LNP transfection of spontaneous hepatocellular carcinoma in situ,E04C1,biological_model,Mdr2 knockout mouse model with spontaneous HCC,has_disease_context,disease,spontaneous HCC in situ,"Mdr2 knockout mice are unable to secrete phospholipids into the bile, resulting in the development of sclerosing cholangitis with severe liver fibrosis by early adulthood and spontaneous HCC by 1 year of age.",Results > Delivery of mRNA-LNPs in liver fibrosis and cirrhosis,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0070,,
GP-002-E04,mRNA-LNP transfection of spontaneous hepatocellular carcinoma in situ,E04C2,endpoint,reporter expression in spontaneous HCC in situ,has_outcome_value,outcome_value,mRNA expression observed in spontaneous HCC in situ,"We observed mRNA expression in healthy, fibrotic, and cirrhotic mouse liver tissue; spontaneous HCC in situ",Discussion,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0180,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C1,biological_model,orthotopic HuH-7 xenograft model,has_species,species,mice,BALB/c nude mice,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C2,biological_model,orthotopic HuH-7 xenograft model,has_intervention,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,Tissues were analyzed approximately 24 h after an injection of 10 μg eGFP mRNA-LNPs via the tail vein.,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C3,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,has_formulation,lnp_formulation,SM-102 mRNA-LNPs,an injection of 10 μg eGFP mRNA-LNPs,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C3,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,has_formulation,lnp_formulation,SM-102 mRNA-LNPs,multiple mouse models of liver disease and cancer following intravenous administration of mRNA-LNPs based on the ionizable lipid SM-102,Introduction,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0040,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C4,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,has_route,route,via the tail vein,via the tail vein,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
GP-002-E05,mRNA-LNP delivery in primary liver cancer xenograft model,E05C5,intervention,10 μg eGFP mRNA-LNP administration in HuH-7 xenograft mice,has_dose,dose,10 μg eGFP mRNA-LNPs,10 μg eGFP mRNA-LNPs,Results > Delivery of mRNA-LNPs to a xenograft model of primary liver cancer,data/raw/fulltext/gold_v1/xml/candidate_00003_PMC13334401.xml,p0125,,
