evidence_id,paper_id,field,correct_source_retrieved,gold_rank,human_verified_location,top_retrieved_block
EVID-001,GP-001,payload_type,YES,1,candidate_00001_PMC13244520.xml,GP-001-B-f9b9a2178f2012943141
EVID-002,GP-004,composition_and_preparation,YES,3,Par18,GP-004-B-0a472f25b7cb9a08b6a6
EVID-003,GP-004,kupffer_cell_transfection_experiment,YES,5,Par7,GP-004-B-e6bd4cfa9da29ad607e7
EVID-004,GP-004,percent_egfp_positive_cd11b_cells,YES,2,Par8,GP-004-B-8f8ebc21885e5f499049
EVID-005,GP-006,composition_and_manufacturing,YES,4,p0105,GP-006-B-9d5e2e6933f0aed4d1ad
EVID-006,GP-006,np_ratio_and_particle_size,YES,4,p0035,GP-006-B-995a4cc839ac2b5ecedb
EVID-007,GP-006,gfp_delivery_to_lsecs,YES,2,p0040,GP-006-B-b8f56b23486fb7cf8f56
EVID-008,GP-006,cas9_sgrna_lnp_treatment,YES,4,p0055,GP-006-B-02d27c7a988c0c74cdcd
EVID-009,GP-006,total_deletion_frequency,YES,5,page 2,GP-006-B-27c2d0f121c05f0f7744
EVID-010,GP-006,total_insertion_frequency,YES,3,page 2,GP-006-B-4b5bade2f506bde72c41
EVID-011,GP-006,fviii_activity,YES,6,p0055,GP-006-B-b8f56b23486fb7cf8f56
EVID-012,GP-002,composition,YES,3,p0040,GP-002-B-6e94e637a0d4b354d4ab
EVID-013,GP-002,hepatocyte_reporter_delivery,YES,1,p0050,GP-002-B-bbd3c3c0e8c364b157f1
EVID-014,GP-002,hepatocyte_expression,YES,1,p0050,GP-002-B-bbd3c3c0e8c364b157f1
EVID-015,GP-003,original_experiment_status,YES,1,candidate_00019_PMC13184955.xml,GP-003-B-3bdf4f32a7c7f941c64e
EVID-016,GP-005,composition,YES,1,candidate_00082_PMC11884593.xml,GP-005-B-3612bd762736ba00f738
EVID-017,GP-005,structured_characterization,YES,1,candidate_00082_PMC11884593.xml,GP-005-B-b968ea93d9feb275a0e7
EVID-018,GP-005,kupffer_uptake_and_translation,YES,1,candidate_00082_PMC11884593.xml,GP-005-B-49c4d774214395d771c7
EVID-019,GP-005,kupffer_uptake,YES,1,candidate_00082_PMC11884593.xml,GP-005-B-accca80c23ae5265b44f
EVID-020,GP-005,kupffer_translation,YES,1,candidate_00082_PMC11884593.xml,GP-005-B-6caa057a3680410c344d
EVID-021,GP-007,partial_composition,YES,1,candidate_00167_PMC13137855.xml,GP-007-B-6f947db85ba1914f793e
EVID-022,GP-007,particle_characterization,YES,1,candidate_00167_PMC13137855.xml,GP-007-B-afe3c2418e4a7b10bbd3
EVID-023,GP-007,lsec_treatment,YES,1,candidate_00167_PMC13137855.xml,GP-007-B-8cc31509b2f206c4e878
EVID-024,GP-007,lsec_protection,YES,1,candidate_00167_PMC13137855.xml,GP-007-B-cb78ce4c4a520e3e9b0b
EVID-025,GP-008,composition_and_manufacturing,YES,1,page 4,GP-008-B-66cffb0f019e5d839388
EVID-026,GP-008,targeting_conjugation,YES,4,page 4,GP-008-B-19ad99a2f9780fc83d7a
EVID-027,GP-008,pdf_table_characterization,YES,3,page 27,GP-008-B-4b9fa6982be8677a2bb3
EVID-028,GP-008,macrophage_delivery,YES,1,candidate_00132_PMC13229182.xml,GP-008-B-6bff0f7b7ff94acdc625
EVID-029,GP-008,hsc_therapeutic_effect,YES,1,candidate_00132_PMC13229182.xml,GP-008-B-b3fbd2fea7aeab5647f6
EVID-030,GP-008,recipient_cell_specificity,YES,1,page 19,GP-008-B-1975f5ff6da903e683ef
EVID-031,GP-009,target_cell_identity,YES,1,candidate_00186_PMC12265960.xml,GP-009-B-10b694f33e93ecdd8e3a
