issue_id,gold_paper_id,entity_type,entity_id,field_name,issue_type,reported_text,resolution,training_eligible,reviewer_notes
ISS-001,GP-001,paper,GP-001,payload_type,unsupported_payload,CTD (2 mg),Exclude from eligible RNA-LNP field extraction.,false,The paper remains a negative screening example; do not extract its drug-loaded solid-lipid formulations as eligible project records.
ISS-002,GP-004,formulation,GF-001,composition,incomplete_proprietary_formulation,Ionizable cationic lipid proprietary to Acuitas Therapeutics / phosphatidylcholine / cholesterol / PEG-lipid.,Preserve reported component classes and leave exact identity and ratios missing.,false,Must not be used as a complete COMET formulation record or have missing ratios imputed.
ISS-003,GP-004,outcome,GO-001,cell_type_specificity,ambiguous_cell_marker,41.5 ± 14.6% of CD11b-positive cells expressed eGFP.,Retain as Kupffer-relevant evidence with an explicit CD11b specificity caveat; pair with qualitative F4/80-positive evidence.,false,"Suitable for extraction evaluation, but not as an unqualified Kupffer-specific numeric target."
ISS-004,GP-006,formulation,GF-002,cell_type_selectivity,target_cell_not_selective,Luciferase expression was approximately 17-fold higher in hepatocytes than LSECs.,Retain as positive LSEC delivery evidence but do not label the formulation LSEC-selective.,true,The comparative hepatocyte result must remain attached to the LSEC record.
ISS-005,GP-006,experiment,GX-003,payload_task,gene_editing_task,Cas9 mRNA plus NSGHAsgRNA,Keep for literature retrieval and extraction evaluation; exclude from an initial COMET training task unless gene-editing outcomes are explicitly supported by that task definition.,false,Screening eligibility does not automatically imply COMET task compatibility.
ISS-006,GP-003,paper,GP-003,original_experiment_status,review_article,State-of-the-art overview of RNA-targeted therapeutics.,Expected answer is zero eligible original formulation-experiment records.,false,Useful negative paper-level gold case.
ISS-007,GP-005,outcome,GO-011,uptake_versus_expression,endpoint_discordance,High Kupffer uptake with no obvious EGFP translation.,Store uptake and functional expression as separate outcomes.,true,Prevents uptake from being mislabeled as successful protein expression.
ISS-008,GP-007,formulation,GF-005,composition,incomplete_ambiguous_chemistry,"Cholesterol, DSPE-PEG, and 0.1 mol% FITC-HA are reported without a complete lipid ratio.",Preserve known components and leave missing identities and ratios blank.,false,Do not use as a complete COMET formulation.
ISS-009,GP-007,experiment,GX-007,dose,volume_without_payload_concentration,5 microliters per gram formulation volume.,Record the administered volume and do not infer siRNA mass dose.,false,Direct LSEC therapeutic evidence remains literature-eligible.
ISS-010,GP-008,experiment,GX-009,cell_role,delivery_recipient_vs_therapeutic_target,CD163-positive macrophages receive FAPCAR mRNA and eliminate FAP-positive HSCs.,Store macrophage as delivery_recipient_cell and HSC as therapeutic_target_cell; exclude from HSC-delivery results.,false,Eligible only for HSC therapeutic-effect retrieval.
ISS-011,GP-008,formulation,GF-006,peg_chemistry,ambiguous_chemistry,The base formulation contains 1.5 mol% PEG-lipid and later receives DSPE-PEG-maleimide post-insertion.,Do not assume the base PEG-lipid identity or the post-insertion molar amount.,false,Ratio-complete but chemically incomplete formulation.
ISS-012,GP-009,paper,GP-009,target_cell_identity,irrelevant_acronym_hit,HSC means hematopoietic stem cell.,Exclude from the hepatic stellate cell paper-cell task.,false,Expected zero eligible hepatic-stellate-cell records.
