gold_candidate_id,candidate_id,pmid,pmcid,doi,title,discovery_cell_types,screening_cell_type,task_id,anticipated_decision,reporting_style,anticipated_difficulty,coverage_tags,full_text_status,selection_reason,selected_for_gold,replacement_status,replacement_reason,notes
GPC-001,candidate_00001,42249613,PMC13244520,10.1080/10717544.2026.2682976,Dual-ligand-modified cantharidin nanoparticles for the treatment of hepatocellular carcinoma via the inhibition of Ephb4.,hepatocyte,hepatocyte,liver_cell_lnp_evidence,exclude,unknown,low,likely_exclude;unsupported_payload,potentially_available,Likely unsupported non-RNA payload despite hepatocyte-targeting language.,true,,,Publication types: Journal Article
GPC-002,candidate_00002,42085855,PMC13245630,10.1016/j.biomaterials.2026.124223,Engineering lipid nanoparticle surface hydrophobicity to modulate nano-bio interface and enable tissue-selective mRNA delivery.,hepatocyte,hepatocyte,liver_cell_lnp_evidence,include,unknown,medium,likely_include;multi_formulation,potentially_available,mRNA-LNP paper likely relevant to hepatocyte delivery and formulation comparison.,false,replaced_non_oa,Replaced because it is not in the PMC Open Access Subset.,Publication types: Journal Article
GPC-003,candidate_00003,42440881,PMC13334401,10.1016/j.omtn.2026.102989,Systemically delivered mRNA-LNPs transfect primary and secondary liver tumors.,hepatocyte,hepatocyte,liver_cell_lnp_evidence,manual_review,unknown,medium,likely_manual_review;target_cell_ambiguous,potentially_available,mRNA-LNP liver-tumor study requiring review of whether hepatocyte evidence is direct.,true,oa_replacement_selected,Replaces candidate_00002 while preserving cell and screening-decision coverage.,Publication types: Journal Article
GPC-004,candidate_00019,42164756,PMC13184955,10.34133/research.1288,RNA-Targeted Therapeutics for Lipid Metabolic Disorders: From Bench to Bedside.,hepatocyte,hepatocyte,liver_cell_lnp_evidence,exclude,unknown,low,likely_exclude;review_style,potentially_available,Review-style title useful for testing the original-experiment criterion.,true,,,Publication types: Journal Article
GPC-005,candidate_00055,40934895,PMC12869458,10.1021/acs.bioconjchem.5c00282,Mannose-Conjugated Cholesterol Containing Lipid Nanoparticles for Active Targeted mRNA Delivery to Liver Sinusoidal Endothelial and Kupffer Cells.,hepatocyte;kupffer;lsec,kupffer_cell,liver_cell_lnp_evidence,include,unknown,medium,likely_include;multi_cell;multi_formulation,potentially_available,Multi-cell mRNA-LNP study explicitly naming Kupffer and LSEC targeting; assigned to the Kupffer screening stratum for balance.,false,replaced_non_oa,Replaced because it is not in the PMC Open Access Subset and its supplement cannot be retrieved through the OA package API.,"Publication types: Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
GPC-006,candidate_00066,40754985,PMC12356191,10.1021/acsami.5c14143,Positron Emission Tomography-Based Pharmacokinetics of mRNA-Lipid Nanoparticles: A Study Quantifying the ApoE and Macrophage Contribution.,hepatocyte;kupffer,kupffer_cell,liver_cell_lnp_evidence,include,unknown,medium,likely_include;multi_cell,potentially_available,mRNA-LNP pharmacokinetic study examining macrophage contribution.,false,,,Publication types: Journal Article
GPC-007,candidate_00082,39792811,PMC11884593,10.1002/advs.202409729,"Exceptional Uptake, Limited Protein Expression: Liver Macrophages Lost in Translation of Synthetic mRNA.",hepatocyte;kupffer,kupffer_cell,liver_cell_lnp_evidence,include,unknown,high,likely_include;multi_cell;outcome_linkage_ambiguous,potentially_available,Contrasts macrophage uptake with protein expression and tests endpoint distinctions.,true,,,Publication types: Journal Article
GPC-008,candidate_00150,33504774,PMC7840919,10.1038/s41467-021-20903-3,Murine liver repair via transient activation of regenerative pathways in hepatocytes using lipid nanoparticle-complexed nucleoside-modified mRNA.,kupffer,kupffer_cell,liver_cell_lnp_evidence,manual_review,unknown,high,likely_manual_review;target_cell_ambiguous,potentially_available,Title emphasizes hepatocytes despite a Kupffer discovery match.,true,oa_replacement_selected,Replaces candidate_00055 while preserving cell and screening-decision coverage.,"Publication types: Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
GPC-009,candidate_00168,39640016,PMC11617921,10.1016/j.omtn.2024.102383,Rescue of the endogenous FVIII expression in hemophilia A mice using CRISPR-Cas9 mRNA LNPs.,lsec,lsec,liver_cell_lnp_evidence,include,unknown,medium,likely_include;multi_formulation,potentially_available,CRISPR-Cas9 mRNA-LNP study with potential LSEC-specific outcome evidence.,true,,,Publication types: Journal Article
GPC-010,candidate_00174,26678452,PMC4886930,10.1038/mt.2015.222,Relationship Between the Physicochemical Properties of Lipid Nanoparticles and the Quality of siRNA Delivery to Liver Cells.,lsec,lsec,liver_cell_lnp_evidence,include,unknown,high,likely_include;multi_formulation;structured_table,potentially_available,Physicochemical-property and siRNA-delivery study likely containing comparative tables.,false,removed_from_field_gold,Full article body is not available through the PMC Open Access Subset; retain abstract-level screening annotation only.,"Publication types: Journal Article;Research Support, Non-U.S. Gov't"
GPC-011,candidate_00167,42088421,PMC13137855,10.7150/ijbs.126332,Novel strategies for mitigating hepatic ischemia-reperfusion injury: targeting MICU1 and calcium-glycolytic homeostasis with acteoside.,lsec,lsec,liver_cell_lnp_evidence,exclude,unknown,medium,likely_exclude;unsupported_payload,potentially_available,Likely non-RNA therapeutic keyword hit useful as an exclusion case.,true,,,Publication types: Journal Article
GPC-012,candidate_00173,28986168,,10.1016/j.jconrel.2017.09.044,Highly specific delivery of siRNA to hepatocytes circumvents endothelial cell-mediated lipid nanoparticle-associated toxicity leading to the safe and efficacious decrease in the hepatitis B virus.,lsec,lsec,liver_cell_lnp_evidence,manual_review,unknown,high,likely_manual_review;target_cell_ambiguous,unknown,Hepatocyte-specific delivery paper that may mention endothelial toxicity without an eligible LSEC experiment.,false,,,Publication types: Journal Article
GPC-013,candidate_00132,42213756,PMC13229182,10.1073/pnas.2534673123,mRNA-laden LNP-enabled in situ CAR-macrophage alleviates liver fibrosis via inhibiting activated HSCs and modulating the immune microenvironment.,hsc;kupffer,hsc,liver_cell_lnp_evidence,include,unknown,high,likely_include;multi_cell;multi_formulation,potentially_available,mRNA-LNP fibrosis study involving hepatic stellate cells and macrophages.,true,,,Publication types: Journal Article
GPC-014,candidate_00186,40087866,PMC12265960,10.1016/j.ymthe.2025.03.018,CD47 peptide-cloaked lipid nanoparticles promote cell-specific mRNA delivery.,hsc,hsc,liver_cell_lnp_evidence,include,unknown,medium,likely_include;multi_cell,potentially_available,Cell-specific mRNA-LNP delivery study requiring confirmation of hepatic stellate-cell evidence.,true,,,Publication types: Journal Article
GPC-015,candidate_00189,38949981,PMC11487647,10.1182/blood.2023023349,Use of HSC-targeted LNP to generate a mouse model of lethal α-thalassemia and treatment via lentiviral gene therapy.,hsc,hsc,liver_cell_lnp_evidence,exclude,unknown,low,likely_exclude;irrelevant_keyword_hit,potentially_available,HSC likely means hematopoietic stem cell rather than hepatic stellate cell.,false,,,"Publication types: Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
GPC-016,candidate_00190,38783058,PMC11757007,10.1038/s41565-024-01680-8,Bone-marrow-homing lipid nanoparticles for genome editing in diseased and malignant haematopoietic stem cells.,hsc,hsc,liver_cell_lnp_evidence,exclude,unknown,low,likely_exclude;irrelevant_keyword_hit,potentially_available,Bone-marrow-homing paper likely uses HSC for hematopoietic stem cell.,false,,,Publication types: Journal Article
